,name,url,price,image
0,dry_marsala,,,
1,malbec,,,
2,sauternes,,,
3,merlot,,,
4,cabernet_sauvignon,,,
5,albarino,,,
6,pineau_des_charentes,,,
7,water,,,
8,chardonnay,,,
9,vino_passito,,,
10,sauvignon,,,
11,riesling,,,
12,cremant_de_loire,,,
13,wine,,,
14,syrah,,,
15,champagne,,,
16,vidal,,,
17,pinot_gris,,,
18,anjou,,,
19,coteaux_champenois,,,
20,bordeaux,,,
21,jerez,,,
22,beaune,,,
23,sake,,,
24,zinfandel,,,
25,cassis,,,
26,barsac,,,
27,fume_blanc,,,
28,brouilly,,,
29,chambolle_musigny,,,
30,chitry,,,
31,chardonnay_moscato,,,
32,saint_aubin,,,
33,chardonnay_verdelho,,,
34,chablis_grand_cru,,,
